Rang 	 Startnummer 	 Laufzeit 	 Name
-----
1	262	01:15:44	Reolon 2
2	261	01:15:45	Reolon 1
3	236	01:15:49	Eckard
4	254	01:16:28	Clavadetscher
5	232	01:17:14	Liebi
6	270	01:17:16	Widmer
7	239	01:17:58	Müller
8	257	01:18:16	Zeller 1
9	240	01:18:34	Trottmann 1
10	268	01:18:59	Oberholzer
11	269	01:19:13	Kober
12	243	01:19:25	Brubpacher 2
13	224	01:19:36	Inderbitzin 1
14	213	01:19:40	Bagattini
15	255	01:19:53	Leuch
16	238	01:20:00	Camenzind
17	259	01:20:03	Brechbühl
18	202	01:20:10	Weinmann 1
19	209	01:20:23	Loosli 1
20	265	01:20:24	Künzler
21	221	01:21:00	Winkler
22	230	01:21:03	Leutenegger 1
23	260	01:21:30	Jakob
24	253	01:21:57	Togni
25	205	01:22:17	Bloch
26	225	01:22:23	Inderbitzin 2
27	226	01:23:11	Inderbitzin 3
28	235	01:23:17	Boller 2
29	207	01:23:22	Frei
30	216	01:23:35	Meier W.
31	229	01:23:56	Ammann
32	258	01:24:01	Zeller 2
33	267	01:24:07	Wipf
34	234	01:24:08	Boller 1
35	233	01:25:36	Blust
36	252	01:26:08	Stalder
37	263	01:26:11	Reolon 3
38	227	01:26:42	Niggli 1
39	208	01:26:44	Lauener
40	212	01:26:53	Heller
41	242	01:27:37	Brubpacher 1
42	211	01:27:41	Naef
43	241	01:27:56	Trottmann 2
44	204	01:28:26	Zehntner
45	222	01:28:59	Lauffer
46	201	01:29:07	Kohler
47	223	01:30:25	Boegli
48	214	01:30:58	Jost
49	210	01:31:12	Loosli 2
50	256	01:31:20	Zehnder
51	206	01:35:58	Doebeli
52	203	01:39:01	Weinmann 2
53	231	01:39:32	Leutenegger 2
54	228	01:41:12	Niggli 2
